ablation_exp,fusion_mode,use_frets,use_complex,use_sparsity,use_improved_gate,frets_scale,sparsity_threshold,test_mse,test_mae,seed,timestamp
,gate,,,,,0.018,0.009,0.3771786391735077,0.39304959774017334,2024,2026-01-02 15:43:35
A1_FreTS_Component,gate,,,,,0.018,0.009,0.377179,0.39305,2024,2026-01-02 15:43:35
,gate,,,,,0.018,0.009,0.3796815276145935,0.3942294418811798,2024,2026-01-02 15:44:58
A4_Fusion_Gate,gate,,,,,0.018,0.009,0.379682,0.394229,2024,2026-01-02 15:44:58
,weighted,,,,,0.018,0.009,0.37733179330825806,0.39155101776123047,2024,2026-01-02 15:46:20
A4_Fusion_Weighted,weighted,,,,,0.018,0.009,0.377332,0.391551,2024,2026-01-02 15:46:20
,gate,,,,,0.015,0.009,0.37714266777038574,0.39304813742637634,2024,2026-01-02 15:47:15
A5_Scale_0.015,gate,,,,,0.015,0.009,0.377143,0.393048,2024,2026-01-02 15:47:15
,gate,,,,,0.018,0.009,0.3771786391735077,0.39304959774017334,2024,2026-01-02 15:48:11
A5_Scale_0.018,gate,,,,,0.018,0.009,0.377179,0.39305,2024,2026-01-02 15:48:11
,gate,,,,,0.018,0.009,0.3771786391735077,0.39304959774017334,2024,2026-01-02 15:57:42
A1_FreTS_Component,gate,,,,,0.018,0.009,0.377179,0.39305,2024,2026-01-02 15:57:42
,gate,,,,,0.018,0.009,0.3838433027267456,0.39974474906921387,2024,2026-01-02 15:59:05
A4_Fusion_Gate,gate,,,,,0.018,0.009,0.383843,0.399745,2024,2026-01-02 15:59:06
,weighted,,,,,0.018,0.009,0.37733179330825806,0.39155101776123047,2024,2026-01-02 16:00:29
A4_Fusion_Weighted,weighted,,,,,0.018,0.009,0.377332,0.391551,2024,2026-01-02 16:00:29
,gate,,,,,0.015,0.009,0.38298454880714417,0.3935665190219879,2024,2026-01-02 16:01:52
A5_Scale_0.015,gate,,,,,0.015,0.009,0.382985,0.393567,2024,2026-01-02 16:01:53
,gate,,,,,0.018,0.009,0.39413636922836304,0.40712496638298035,2024,2026-01-02 16:03:16
A5_Scale_0.018,gate,,,,,0.018,0.009,0.394136,0.407125,2024,2026-01-02 16:03:17
,gate,,,,,0.02,0.009,0.377169132232666,0.3930385112762451,2024,2026-01-02 16:04:41
A5_Scale_0.020,gate,,,,,0.02,0.009,0.377169,0.393039,2024,2026-01-02 16:04:41
,gate,,,,,0.02,0.01,0.37893882393836975,0.3929072320461273,2024,2026-01-02 18:38:00
A1_FFT_Magnitude,gate,0,0,0,,0.02,0.01,0.378939,0.392907,2024,2026-01-02 18:38:00
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 18:39:44
A1_FreTS_Component,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 18:39:44
,gate,,,,,0.02,0.01,0.37893882393836975,0.3929072320461273,2024,2026-01-02 18:41:17
A2_FFT_Magnitude_Only,gate,0,0,0,,0.02,0.01,0.378939,0.392907,2024,2026-01-02 18:41:18
,gate,,,,,0.02,0.01,0.37893882393836975,0.3929072320461273,2024,2026-01-02 18:43:03
A2_FFT_Complex,gate,0,1,0,,0.02,0.01,0.378939,0.392907,2024,2026-01-02 18:43:04
,gate,,,,,0.018,0.0,0.3802110254764557,0.39625084400177,2024,2026-01-02 18:45:05
A3_FreTS_NoSparsity,gate,1,1,0,,0.018,0.0,0.380211,0.396251,2024,2026-01-02 18:45:06
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 18:46:49
A3_FreTS_WithSparsity,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 18:46:50
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 18:48:34
A4_Fusion_Gate,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 18:48:34
,weighted,,,,,0.018,0.009,0.38381150364875793,0.3939889967441559,2024,2026-01-02 18:50:28
A4_Fusion_Weighted,weighted,1,1,1,,0.018,0.009,0.383812,0.393989,2024,2026-01-02 18:50:28
,cross_attn,,,,,0.018,0.009,0.39277827739715576,0.3994870185852051,2024,2026-01-02 18:52:39
A4_Fusion_CrossAttn,cross_attn,1,1,1,,0.018,0.009,0.392778,0.399487,2024,2026-01-02 18:52:40
,hybrid,,,,,0.018,0.009,0.3873440623283386,0.39564791321754456,2024,2026-01-02 18:55:06
A4_Fusion_Hybrid,hybrid,1,1,1,,0.018,0.009,0.387344,0.395648,2024,2026-01-02 18:55:06
,gate,,,,,0.01,0.009,0.38010627031326294,0.3959676921367645,2024,2026-01-02 18:56:49
A5_Scale_0.010,gate,1,1,1,,0.01,0.009,0.380106,0.395968,2024,2026-01-02 18:56:49
,gate,,,,,0.015,0.009,0.3797992169857025,0.3960283100605011,2024,2026-01-02 18:58:33
A5_Scale_0.015,gate,1,1,1,,0.015,0.009,0.379799,0.396028,2024,2026-01-02 18:58:33
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 19:00:38
A5_Scale_0.018,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 19:00:38
,gate,,,,,0.02,0.009,0.380182683467865,0.39623790979385376,2024,2026-01-02 19:02:20
A5_Scale_0.020,gate,1,1,1,,0.02,0.009,0.380183,0.396238,2024,2026-01-02 19:02:20
,gate,,,,,0.025,0.009,0.379851758480072,0.39597612619400024,2024,2026-01-02 19:04:02
A5_Scale_0.025,gate,1,1,1,,0.025,0.009,0.379852,0.395976,2024,2026-01-02 19:04:02
,gate,,,,,0.018,0.005,0.37989920377731323,0.39612919092178345,2024,2026-01-02 19:05:44
A6_Sparsity_0.005,gate,1,1,1,,0.018,0.005,0.379899,0.396129,2024,2026-01-02 19:05:44
,gate,,,,,0.018,0.008,0.37973883748054504,0.3960767090320587,2024,2026-01-02 19:07:26
A6_Sparsity_0.008,gate,1,1,1,,0.018,0.008,0.379739,0.396077,2024,2026-01-02 19:07:27
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 19:09:08
A6_Sparsity_0.009,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 19:09:09
,gate,,,,,0.018,0.012,0.37996724247932434,0.395961731672287,2024,2026-01-02 19:10:51
A6_Sparsity_0.012,gate,1,1,1,,0.018,0.012,0.379967,0.395962,2024,2026-01-02 19:10:51
,gate,,,,,0.018,0.015,0.3798631429672241,0.39610666036605835,2024,2026-01-02 19:12:34
A6_Sparsity_0.015,gate,1,1,1,,0.018,0.015,0.379863,0.396107,2024,2026-01-02 19:12:35
,gate,,,,,0.018,0.009,0.3801650404930115,0.39612340927124023,2024,2026-01-02 19:14:17
A7_Original_Gate,gate,1,1,1,,0.018,0.009,0.380165,0.396123,2024,2026-01-02 19:14:17
,gate,,,,,0.018,0.009,0.3799068331718445,0.39614447951316833,2024,2026-01-02 19:16:00
A7_Improved_Gate,gate,1,1,1,,0.018,0.009,0.379907,0.396144,2024,2026-01-02 19:16:01
